user_id,n_posts,w0,w1,w2,assignment_type
user_0001,100,0.79,0.1,0.11,hard
user_0002,100,0.14,0.76,0.1,hard
user_0003,100,0.1,0.11,0.79,hard
user_0004,100,0.31,0.39,0.3,hard
user_0005,100,0.38,0.51,0.11,hard
user_0006,100,0.36,0.06,0.58,hard
user_0007,100,0.08,0.37,0.55,hard
user_0008,100,0.81,0.07,0.12,hard
user_0009,100,0.1,0.81,0.09,hard
user_0010,100,0.12,0.14,0.74,hard
user_0011,100,0.34,0.38,0.28,hard
user_0012,100,0.36,0.56,0.08,hard
user_0013,100,0.46,0.09,0.45,hard
user_0014,100,0.1,0.49,0.41,hard
user_0015,100,0.83,0.09,0.08,hard
user_0016,100,0.06,0.86,0.08,hard
user_0017,100,0.1,0.12,0.78,hard
user_0018,100,0.37,0.32,0.31,hard
user_0019,100,0.53,0.4,0.07,hard
user_0020,100,0.49,0.1,0.41,hard
user_0021,100,0.1,0.43,0.47,hard
user_0022,100,0.75,0.08,0.17,hard
user_0023,100,0.11,0.8,0.09,hard
user_0024,100,0.15,0.09,0.76,hard
user_0025,100,0.32,0.31,0.37,hard
user_0026,100,0.47,0.44,0.09,hard
user_0027,100,0.36,0.09,0.55,hard
user_0028,100,0.13,0.44,0.43,hard
user_0029,100,0.76,0.07,0.17,hard
user_0030,100,0.08,0.85,0.07,hard
user_0031,100,0.09,0.08,0.83,hard
user_0032,100,0.25,0.38,0.37,hard
user_0033,100,0.49,0.38,0.13,hard
user_0034,100,0.4,0.14,0.46,hard
user_0035,100,0.09,0.4,0.51,hard
user_0036,100,0.77,0.07,0.16,hard
user_0037,100,0.09,0.82,0.09,hard
user_0038,100,0.1,0.1,0.8,hard
user_0039,100,0.28,0.31,0.41,hard
user_0040,100,0.38,0.53,0.09,hard
user_0041,100,0.44,0.1,0.46,hard
user_0042,100,0.2,0.41,0.39,hard
user_0043,100,0.79,0.1,0.11,hard
user_0044,100,0.09,0.79,0.12,hard
user_0045,100,0.13,0.12,0.75,hard
user_0046,100,0.33,0.39,0.28,hard
user_0047,100,0.47,0.39,0.14,hard
user_0048,100,0.5,0.06,0.44,hard
user_0049,100,0.1,0.55,0.35,hard
user_0050,100,0.8,0.08,0.12,hard
user_0051,100,0.18,0.75,0.07,hard
user_0052,100,0.09,0.08,0.83,hard
user_0053,100,0.31,0.33,0.36,hard
user_0054,100,0.46,0.42,0.12,hard
user_0055,100,0.47,0.14,0.39,hard
user_0056,100,0.11,0.43,0.46,hard
user_0057,100,0.8,0.12,0.08,hard
user_0058,100,0.1,0.8,0.1,hard
user_0059,100,0.16,0.09,0.75,hard
user_0060,100,0.34,0.36,0.3,hard
user_0061,100,0.43,0.46,0.11,hard
user_0062,100,0.5,0.11,0.39,hard
user_0063,100,0.06,0.47,0.47,hard
user_0064,100,0.78,0.14,0.08,hard
user_0065,100,0.12,0.82,0.06,hard
user_0066,100,0.13,0.1,0.77,hard
user_0067,100,0.31,0.4,0.29,hard
user_0068,100,0.41,0.48,0.11,hard
user_0069,100,0.46,0.14,0.4,hard
user_0070,100,0.1,0.4,0.5,hard
user_0071,100,0.82,0.07,0.11,hard
user_0072,100,0.11,0.78,0.11,hard
user_0073,100,0.08,0.17,0.75,hard
user_0074,100,0.36,0.3,0.34,hard
user_0075,100,0.49,0.41,0.1,hard
user_0076,100,0.44,0.08,0.48,hard
user_0077,100,0.15,0.43,0.42,hard
user_0078,100,0.81,0.11,0.08,hard
user_0079,100,0.09,0.82,0.09,hard
user_0080,100,0.1,0.11,0.79,hard
user_0081,100,0.31,0.37,0.32,hard
user_0082,100,0.4,0.48,0.12,hard
user_0083,100,0.45,0.11,0.44,hard
user_0084,100,0.08,0.44,0.48,hard
user_0085,100,0.81,0.12,0.07,hard
user_0086,100,0.15,0.77,0.08,hard
user_0087,100,0.08,0.1,0.82,hard
user_0088,100,0.33,0.31,0.36,hard
user_0089,100,0.45,0.44,0.11,hard
user_0090,100,0.42,0.1,0.48,hard
user_0091,100,0.13,0.41,0.46,hard
user_0092,100,0.79,0.12,0.09,hard
user_0093,100,0.11,0.8,0.09,hard
user_0094,100,0.06,0.15,0.79,hard
user_0095,100,0.29,0.34,0.37,hard
user_0096,100,0.47,0.46,0.07,hard
user_0097,100,0.51,0.1,0.39,hard
user_0098,100,0.02,0.52,0.46,hard
user_0099,100,0.7,0.13,0.17,hard
user_0100,100,0.16,0.78,0.06,hard
user_0101,100,0.08,0.17,0.75,hard
user_0102,100,0.39,0.26,0.35,hard
user_0103,100,0.39,0.48,0.13,hard
user_0104,100,0.51,0.13,0.36,hard
user_0105,100,0.08,0.49,0.43,hard
user_0106,100,0.79,0.13,0.08,hard
user_0107,100,0.13,0.72,0.15,hard
user_0108,100,0.11,0.08,0.81,hard
user_0109,100,0.32,0.33,0.35,hard
user_0110,100,0.41,0.47,0.12,hard
user_0111,100,0.58,0.1,0.32,hard
user_0112,100,0.12,0.45,0.43,hard
user_0113,100,0.82,0.09,0.09,hard
user_0114,100,0.08,0.83,0.09,hard
user_0115,100,0.08,0.14,0.78,hard
user_0116,100,0.38,0.41,0.21,hard
user_0117,100,0.48,0.37,0.15,hard
user_0118,100,0.51,0.06,0.43,hard
user_0119,100,0.09,0.41,0.5,hard
user_0120,100,0.8,0.13,0.07,hard
user_0121,100,0.16,0.75,0.09,hard
user_0122,100,0.1,0.12,0.78,hard
user_0123,100,0.31,0.34,0.35,hard
user_0124,100,0.45,0.4,0.15,hard
user_0125,100,0.43,0.15,0.42,hard
user_0126,100,0.12,0.49,0.39,hard
user_0127,100,0.81,0.09,0.1,hard
user_0128,100,0.07,0.84,0.09,hard
user_0129,100,0.06,0.06,0.88,hard
user_0130,100,0.36,0.28,0.36,hard
user_0131,100,0.46,0.46,0.08,hard
user_0132,100,0.43,0.09,0.48,hard
user_0133,100,0.09,0.41,0.5,hard
user_0134,100,0.78,0.13,0.09,hard
user_0135,100,0.09,0.74,0.17,hard
user_0136,100,0.09,0.06,0.85,hard
user_0137,100,0.31,0.42,0.27,hard
user_0138,100,0.48,0.42,0.1,hard
user_0139,100,0.43,0.06,0.51,hard
user_0140,100,0.12,0.49,0.39,hard
user_0141,100,0.8,0.09,0.11,hard
user_0142,100,0.1,0.81,0.09,hard
user_0143,100,0.12,0.09,0.79,hard
user_0144,100,0.26,0.38,0.36,hard
user_0145,100,0.43,0.43,0.14,hard
user_0146,100,0.49,0.1,0.41,hard
user_0147,100,0.13,0.49,0.38,hard
user_0148,100,0.73,0.14,0.13,hard
user_0149,100,0.08,0.86,0.06,hard
user_0150,100,0.12,0.12,0.76,hard
user_0151,100,0.41,0.29,0.3,hard
user_0152,100,0.44,0.45,0.11,hard
user_0153,100,0.53,0.09,0.38,hard
user_0154,100,0.12,0.51,0.37,hard
user_0155,100,0.83,0.09,0.08,hard
user_0156,100,0.1,0.81,0.09,hard
user_0157,100,0.09,0.11,0.8,hard
user_0158,100,0.33,0.34,0.33,hard
user_0159,100,0.54,0.34,0.12,hard
user_0160,100,0.5,0.09,0.41,hard
user_0161,100,0.06,0.52,0.42,hard
user_0162,100,0.71,0.18,0.11,hard
user_0163,100,0.06,0.82,0.12,hard
user_0164,100,0.12,0.06,0.82,hard
user_0165,100,0.31,0.38,0.31,hard
user_0166,100,0.42,0.48,0.1,hard
user_0167,100,0.48,0.09,0.43,hard
user_0168,100,0.12,0.44,0.44,hard
user_0169,100,0.86,0.05,0.09,hard
user_0170,100,0.06,0.81,0.13,hard
user_0171,100,0.07,0.09,0.84,hard
user_0172,100,0.42,0.25,0.33,hard
user_0173,100,0.41,0.48,0.11,hard
user_0174,100,0.42,0.15,0.43,hard
user_0175,100,0.11,0.53,0.36,hard
user_0176,100,0.81,0.06,0.13,hard
user_0177,100,0.08,0.86,0.06,hard
user_0178,100,0.09,0.11,0.8,hard
user_0179,100,0.38,0.3,0.32,hard
user_0180,100,0.4,0.45,0.15,hard
user_0181,100,0.41,0.05,0.54,hard
user_0182,100,0.11,0.42,0.47,hard
user_0183,100,0.77,0.07,0.16,hard
user_0184,100,0.11,0.79,0.1,hard
user_0185,100,0.07,0.11,0.82,hard
user_0186,100,0.37,0.29,0.34,hard
user_0187,100,0.46,0.44,0.1,hard
user_0188,100,0.47,0.04,0.49,hard
user_0189,100,0.09,0.39,0.52,hard
user_0190,100,0.83,0.06,0.11,hard
user_0191,100,0.17,0.73,0.1,hard
user_0192,100,0.11,0.1,0.79,hard
user_0193,100,0.32,0.31,0.37,hard
user_0194,100,0.49,0.44,0.07,hard
user_0195,100,0.44,0.05,0.51,hard
user_0196,100,0.1,0.47,0.43,hard
user_0197,100,0.82,0.1,0.08,hard
user_0198,100,0.11,0.81,0.08,hard
user_0199,100,0.08,0.05,0.87,hard
user_0200,100,0.32,0.37,0.31,hard
user_0201,100,0.46,0.46,0.08,hard
user_0202,100,0.4,0.12,0.48,hard
user_0203,100,0.09,0.47,0.44,hard
user_0204,100,0.82,0.1,0.08,hard
user_0205,100,0.02,0.89,0.09,hard
user_0206,100,0.08,0.15,0.77,hard
user_0207,100,0.34,0.26,0.4,hard
user_0208,100,0.47,0.44,0.09,hard
user_0209,100,0.38,0.12,0.5,hard
user_0210,100,0.1,0.39,0.51,hard
user_0211,100,0.82,0.07,0.11,hard
user_0212,100,0.07,0.82,0.11,hard
user_0213,100,0.08,0.14,0.78,hard
user_0214,100,0.37,0.28,0.35,hard
user_0215,100,0.41,0.54,0.05,hard
user_0216,100,0.49,0.11,0.4,hard
user_0217,100,0.09,0.4,0.51,hard
user_0218,100,0.84,0.07,0.09,hard
user_0219,100,0.12,0.8,0.08,hard
user_0220,100,0.1,0.1,0.8,hard
user_0221,100,0.33,0.35,0.32,hard
user_0222,100,0.46,0.42,0.12,hard
user_0223,100,0.51,0.08,0.41,hard
user_0224,100,0.11,0.36,0.53,hard
user_0225,100,0.84,0.08,0.08,hard
user_0226,100,0.08,0.83,0.09,hard
user_0227,100,0.09,0.14,0.77,hard
user_0228,100,0.29,0.39,0.32,hard
user_0229,100,0.43,0.43,0.14,hard
user_0230,100,0.46,0.11,0.43,hard
user_0231,100,0.09,0.43,0.48,hard
user_0232,100,0.83,0.09,0.08,hard
user_0233,100,0.11,0.75,0.14,hard
user_0234,100,0.12,0.06,0.82,hard
user_0235,100,0.43,0.32,0.25,hard
user_0236,100,0.49,0.41,0.1,hard
user_0237,100,0.41,0.12,0.47,hard
user_0238,100,0.1,0.43,0.47,hard
user_0239,100,0.83,0.1,0.07,hard
user_0240,100,0.04,0.89,0.07,hard
user_0241,100,0.13,0.05,0.82,hard
user_0242,100,0.26,0.36,0.38,hard
user_0243,100,0.5,0.43,0.07,hard
user_0244,100,0.49,0.05,0.46,hard
user_0245,100,0.1,0.43,0.47,hard
user_0246,100,0.81,0.07,0.12,hard
user_0247,100,0.13,0.75,0.12,hard
user_0248,100,0.15,0.1,0.75,hard
user_0249,100,0.4,0.31,0.29,hard
user_0250,100,0.47,0.42,0.11,hard
user_0251,100,0.5,0.09,0.41,hard
user_0252,100,0.07,0.45,0.48,hard
user_0253,100,0.82,0.06,0.12,hard
user_0254,100,0.09,0.82,0.09,hard
user_0255,100,0.12,0.13,0.75,hard
user_0256,100,0.3,0.36,0.34,hard
user_0257,100,0.49,0.45,0.06,hard
user_0258,100,0.37,0.12,0.51,hard
user_0259,100,0.07,0.37,0.56,hard
user_0260,100,0.81,0.09,0.1,hard
user_0261,100,0.08,0.85,0.07,hard
user_0262,100,0.12,0.1,0.78,hard
user_0263,100,0.33,0.33,0.34,hard
user_0264,100,0.41,0.45,0.14,hard
user_0265,100,0.44,0.07,0.49,hard
user_0266,100,0.08,0.46,0.46,hard
user_0267,100,0.78,0.1,0.12,hard
user_0268,100,0.11,0.75,0.14,hard
user_0269,100,0.09,0.12,0.79,hard
user_0270,100,0.36,0.27,0.37,hard
user_0271,100,0.36,0.55,0.09,hard
user_0272,100,0.39,0.08,0.53,hard
user_0273,100,0.11,0.4,0.49,hard
user_0274,100,0.86,0.09,0.05,hard
user_0275,100,0.08,0.78,0.14,hard
user_0276,100,0.08,0.04,0.88,hard
user_0277,100,0.38,0.34,0.28,hard
user_0278,100,0.48,0.42,0.1,hard
user_0279,100,0.44,0.09,0.47,hard
user_0280,100,0.05,0.45,0.5,hard
user_0281,100,0.86,0.08,0.06,hard
user_0282,100,0.06,0.83,0.11,hard
user_0283,100,0.1,0.1,0.8,hard
user_0284,100,0.34,0.34,0.32,hard
user_0285,100,0.46,0.47,0.07,hard
user_0286,100,0.37,0.09,0.54,hard
user_0287,100,0.08,0.55,0.37,hard
user_0288,100,0.81,0.09,0.1,hard
user_0289,100,0.08,0.85,0.07,hard
user_0290,100,0.06,0.05,0.89,hard
user_0291,100,0.28,0.3,0.42,hard
user_0292,100,0.39,0.45,0.16,hard
user_0293,100,0.37,0.1,0.53,hard
user_0294,100,0.08,0.43,0.49,hard
user_0295,100,0.88,0.1,0.02,hard
user_0296,100,0.1,0.81,0.09,hard
user_0297,100,0.08,0.1,0.82,hard
user_0298,100,0.29,0.41,0.3,hard
user_0299,100,0.45,0.41,0.14,hard
user_0300,100,0.49,0.09,0.42,hard
user_0301,100,0.16,0.33,0.51,hard
user_0302,100,0.79,0.08,0.13,hard
user_0303,100,0.1,0.82,0.08,hard
